,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,5062.816664258114
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,908.3502987633951
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1132.5936363906499
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6168.019110121459
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,16120.716650059127
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,11960.782315915018
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,5706.78435295614
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,3005.802917569621
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2086.931418618906
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,2680.970398850779
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5917.181289301063
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,631.1352190562152
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1820.4507134052478
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,425.0566836172511
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1444.6455741861214
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1720.7436892526953
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,395.1212399688484
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,19256.79929722679
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4747.8684642806475
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,416.12422458374976
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4725.731575902583
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,645.1965910034858
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,5445.110744960206
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4602.882152490714
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7277.923454061485
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,989.6054230227755
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,1831.6472668339725
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2694.25669834602
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,901.3033454782671
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,3101.381717406112
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5990.807457934736
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,625.452133587025
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3366.9148250493336
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4264.855984594242
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1667.7056985688978
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,5852.834813002468
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1100.489105335353
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,5448.95489173348
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,568.208670666616
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,-160.05606040035218
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,614.4661638261514
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,594.7030099621852
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,115.12555744320844
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,277.2071510323385
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,7542.030944966987
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,7020.454546692788
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,8725.84941801453
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1759.9634095291221
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,522.7636112374857
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,4752.487595773284
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1672.0327724568087
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,6755.088561808437
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,7902.266990819138
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,588.5081865257876
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3070.13539194691
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,7642.078896290313
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,-51.701675706335664
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,4876.181489963738
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,6086.4608748276005
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,5362.375520936845
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1894.365544282046
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,675.0315462775498
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,2886.583922471141
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1817.953243704866
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1910.4230351759475
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,6719.279087033047
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,278.1672891344665
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1854.5608860436516
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,7408.283186624493
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,532.9492212926634
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,756.5035201593041
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,475.6020819293317
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6692.236282424777
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,513.3753672019934
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,557.3840128485067
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3214.64689000927
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,607.6747519608716
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1481.4578596610709
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1577.1782184266358
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,2281.5617944620526
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,337.9787844436396
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,683.1885391516239
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,288.873744913732
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4209.037491078439
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,3952.439680700019
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,3025.7248296823695
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,974.6417340889489
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,3307.7697163784765
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3213.7140252109934
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,5015.733224424966
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,3371.696176196493
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,10433.917235708133
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,9455.034890020615
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,975.8395872729161
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5719.959135567095
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,20640.328489075422
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,5952.668314063807
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,856.5221010194434
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,3069.69089664003
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5984.814919831884
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5821.921848559809
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,6577.310136135694
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3141.2194681147325
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5665.041716514843
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,10623.004921950895
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1072.6136197451983
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,1212.98703905609
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,493.9899197647487
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,443.43268452395387
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3041.8816939458397
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,611.6587370883481
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,6998.326428221024
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1610.6685162429858
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,6974.281169120879
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1838.8716720639422
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,199.90554124536266
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1403.236453073794
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,6759.750752534474
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,339.53447206172814
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,810.0333446991363
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,10725.705281229151
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,5340.870441865956
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,306.0402222925454
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,910.1022285909556
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,6135.730330480701
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,7062.398726903346
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,6157.77886263445
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,2841.4219223324053
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,434.4671046671733
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,6387.378629278249
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3502.3713640847973
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,941.4741213680646
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1940.761331550792
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1726.229407221641
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,5801.497372894877
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5683.795423848267
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5831.802537546704
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3322.083839140269
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,5715.587114826927
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,606.90900992146
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,7871.390344979822
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,455.5061902903785
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5617.316134634165
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,5936.478328977062
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,198.3078155199819
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,716.3889441362749
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,1974.3510027367106
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4892.33835422721
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3322.7831321758176
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,4291.798575036444
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,6033.339928239866
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3298.581715925126
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1020.2149846375651
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,573.5527140406975
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,12622.997186323513
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6367.083028365316
