,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,4573.533828140318
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,810.4494123954896
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1476.275558231328
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6023.683212090886
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,16785.557493734006
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,11960.782315915018
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,5650.327766111948
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2758.2800608825137
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2771.0489318723994
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3019.216593514613
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5348.688132258489
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,554.4036814406418
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1636.6462461925416
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,425.0566836172511
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1408.6894764714675
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1570.9645499626008
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,413.1884366778313
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,20515.527706908997
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4588.505839843669
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,366.6108656757515
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,5153.071799798439
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,572.7396902255036
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,5332.440742399494
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4157.090752932214
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7354.656186137954
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,868.1565970150327
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,1646.540765266434
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2428.885842618422
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,804.9049416654625
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,2798.3808110216405
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5415.171646354843
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,554.3319008213762
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3035.7380768786534
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3850.324303092307
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1497.3961332204476
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,5720.988129514695
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,983.9214279535445
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,5303.813022445888
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,501.2955884461767
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,237.22157035413784
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,545.5309096660726
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,527.4128357005693
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,167.10900541614728
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,274.4774709709118
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,7391.629416447471
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,6349.8791986342385
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9639.438454533392
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1580.930849655761
