,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,5482.45914612926
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,602.5371531344535
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,2200.4735943704327
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6791.833948816782
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,12091.178022374284
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,11191.48163580954
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,6343.376766035772
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,4005.8353735690634
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,3995.294962862534
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,4172.091706073674
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,6053.221634954118
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,-28.88167002828959
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,2386.021364653434
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,47.683225920120094
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,2097.6556172064393
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,2144.192773568473
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,-396.39844332495886
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,13473.734844842353
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,5507.915481078244
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,-392.02292978902733
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,6218.485330090663
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,158.4554838893746
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,6095.383277780218
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,5170.230556266486
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7335.350719057989
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,579.6669480867367
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2590.063826448217
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,3288.3038811194474
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1062.5273839900547
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,3696.3888047090168
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,6428.692689056044
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,237.60650973904922
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,4228.372526875633
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4905.531760133812
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,2196.098080834503
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6431.278818957309
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1027.327384601147
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6300.222485841603
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,-66.66779931846213
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,-452.6792641269185
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,-237.2996453590058
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,18.64812370180698
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,-1090.262984460258
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,-387.6474162530976
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,7803.099339617385
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,6973.00620556385
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,8504.121415291344
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,2081.747055595919
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,-33.257183564219304
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,5635.393046924617
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1927.8205174324976
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,6764.588230233136
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,8125.868340186686
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,-212.64005667662423
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3846.7365756031086
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,8123.282210285421
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,-1651.2818088451859
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,5322.367710795244
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,6312.552280182796
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,5922.165301838411
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,2481.877698380229
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,58.22363662664611
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4091.1512965893326
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,2429.175644847599
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,2452.8425961619178
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,7496.238900658607
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,-912.6694949825178
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,2261.129928708322
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,7681.786670941607
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,37.142815213595895
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,453.9787658750265
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,187.49058610768589
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6726.005354676361
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,-516.9143657341374
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,358.12243214822956
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4136.891706684766
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,-233.72087808967444
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1867.1641830946082
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,2039.5854127698149
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,2746.576494512903
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,-329.5772118164732
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,668.561638376339
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,-352.44741686419
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,5060.255044563835
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,4601.257451076299
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,3749.090858241647
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,529.5510244553716
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,3887.1088347945497
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3994.4982165959354
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,5209.806069191325
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,4079.814139616208
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,8869.052058686748
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,8971.073289584141
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1117.0188211573477
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,6010.067354759949
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,12990.874408939037
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,6233.401254333121
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,875.1902300723905
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,4030.4949622514414
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5943.246123251463
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,6892.065796079509
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,6758.4233330625375
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3852.901472773703
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5839.4355087194035
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,9171.536984109594
