,carat,cut,color,clarity,depth,table,x,y,z,color_n,price_predicted,cut_n,clarity_n
0,0.91,3-Very Good,3-H,2-SI2,63.4,57.0,6.1,6.18,3.89,2,4286.622313772001,2,1
1,0.38,2-Good,5-F,4-VS2,60.3,61.0,4.68,4.71,2.83,4,871.263682836885,1,3
2,0.52,5-Ideal,3-H,4-VS2,61.8,56.0,5.19,5.16,3.2,2,1219.76466314373,4,3
3,1.1,5-Ideal,4-G,5-VS1,61.3,56.0,6.65,6.69,4.09,3,6005.623438565019,4,4
4,2.28,5-Ideal,4-G,2-SI2,61.6,57.0,8.44,8.37,5.18,3,16578.6726908969,4,1
5,2.01,3-Very Good,1-J,4-VS2,60.8,58.0,8.08,8.16,4.94,0,13356.012333789276,2,3
6,1.06,5-Ideal,4-G,2-SI2,62.2,57.0,6.51,6.49,4.04,3,5713.2503510311935,4,1
7,0.7,4-Premium,6-E,3-SI1,60.1,58.0,5.81,5.83,3.5,5,3246.5008539506434,3,2
8,0.73,4-Premium,2-I,4-VS2,59.7,59.0,5.94,5.81,3.51,1,2399.5199859323066,3,3
9,0.73,5-Ideal,3-H,8-IF,61.6,55.0,5.8,5.82,3.58,2,2762.1393904771894,4,7
10,1.0,2-Good,7-D,4-VS2,64.1,58.0,6.24,6.33,4.03,6,6094.032591965077,1,3
11,0.33,5-Ideal,4-G,6-VVS2,60.1,57.0,4.48,4.51,2.7,3,315.90002223725423,4,5
12,0.54,5-Ideal,1-J,6-VVS2,61.6,57.0,5.25,5.23,3.23,0,853.3078542767744,4,5
13,0.33,5-Ideal,7-D,4-VS2,61.9,53.0,4.49,4.46,2.77,6,1035.2552959384202,4,3
14,0.51,1-Fair,7-D,4-VS2,64.4,54.0,5.06,5.03,3.25,6,2228.8887264015657,0,3
15,0.51,5-Ideal,6-E,3-SI1,62.4,55.0,5.09,5.14,3.19,5,1988.4280520159564,4,2
16,0.3,2-Good,2-I,3-SI1,63.2,55.0,4.25,4.29,2.7,1,-323.62031324143527,1,2
17,2.66,2-Good,3-H,2-SI2,64.3,60.0,8.71,8.65,5.58,2,19969.78393586264,1,1
18,0.92,4-Premium,5-F,3-SI1,61.8,59.0,6.21,6.25,3.85,4,4830.906399310387,3,2
19,0.3,5-Ideal,4-G,8-IF,62.2,55.0,4.3,4.32,2.68,3,156.85372515185327,4,7
20,1.0,3-Very Good,3-H,3-SI1,62.0,54.0,6.43,6.47,4.0,2,4907.892055897612,2,2
21,0.34,3-Very Good,5-F,5-VS1,61.1,57.0,4.51,4.54,2.76,4,623.8571764764656,2,4
