,carat,cut,color,clarity,depth,table,x,y,z,color_n,price_predicted,cut_n,clarity_n
0,0.91,3-Very Good,3-H,2-SI2,63.4,57.0,6.1,6.18,3.89,2,4425.23813910436,2,1
1,0.38,2-Good,5-F,4-VS2,60.3,61.0,4.68,4.71,2.83,4,289.66749731031314,1,3
2,0.52,5-Ideal,3-H,4-VS2,61.8,56.0,5.19,5.16,3.2,2,1924.3039494088384,4,3
3,1.1,5-Ideal,4-G,5-VS1,61.3,56.0,6.65,6.69,4.09,3,6352.837025336812,4,4
4,2.28,5-Ideal,4-G,2-SI2,61.6,57.0,8.44,8.37,5.18,3,16614.48651909645,4,1
5,2.01,3-Very Good,1-J,4-VS2,60.8,58.0,8.08,8.16,4.94,0,13723.760575935548,2,3
6,1.06,5-Ideal,4-G,2-SI2,62.2,57.0,6.51,6.49,4.04,3,6069.867657633409,4,1
7,0.7,4-Premium,6-E,3-SI1,60.1,58.0,5.81,5.83,3.5,5,2893.390010182647,3,2
8,0.73,4-Premium,2-I,4-VS2,59.7,59.0,5.94,5.81,3.51,1,3068.9685657249443,3,3
9,0.73,5-Ideal,3-H,8-IF,61.6,55.0,5.8,5.82,3.58,2,3439.367085020414,4,7
10,1.0,2-Good,7-D,4-VS2,64.1,58.0,6.24,6.33,4.03,6,4929.767214691234,1,3
11,0.33,5-Ideal,4-G,6-VVS2,60.1,57.0,4.48,4.51,2.7,3,761.4867290463249,4,5
12,0.54,5-Ideal,1-J,6-VVS2,61.6,57.0,5.25,5.23,3.23,0,2069.9398688809147,4,5
13,0.33,5-Ideal,7-D,4-VS2,61.9,53.0,4.49,4.46,2.77,6,719.0261290601343,4,3
14,0.51,1-Fair,7-D,4-VS2,64.4,54.0,5.06,5.03,3.25,6,888.5583534957418,0,3
15,0.51,5-Ideal,6-E,3-SI1,62.4,55.0,5.09,5.14,3.19,5,1920.9600515552152,4,2
16,0.3,2-Good,2-I,3-SI1,63.2,55.0,4.25,4.29,2.7,1,-119.02684735581352,1,2
17,2.66,2-Good,3-H,2-SI2,64.3,60.0,8.71,8.65,5.58,2,19401.537405446154,1,1
18,0.92,4-Premium,5-F,3-SI1,61.8,59.0,6.21,6.25,3.85,4,4700.153685171428,3,2
19,0.3,5-Ideal,4-G,8-IF,62.2,55.0,4.3,4.32,2.68,3,611.8878810496917,4,7
20,1.0,3-Very Good,3-H,3-SI1,62.0,54.0,6.43,6.47,4.0,2,5027.180014347034,2,2
21,0.34,3-Very Good,5-F,5-VS1,61.1,57.0,4.51,4.54,2.76,4,304.1544274631501,2,4
22,1.01,3-Very Good,5-F,2-SI2,62.4,58.0,6.37,6.41,3.99,4,5186.158701243512,2,1
23,0.87,5-Ideal,5-F,5-VS1,62.0,55.0,6.1,6.13,3.79,4,4554.361842065429,4,4
24,1.26,4-Premium,7-D,2-SI2,61.9,58.0,6.88,6.81,4.24,6,7485.635305765554,3,1
25,0.38,4-Premium,6-E,5-VS1,60.2,58.0,4.66,4.71,2.82,5,825.9678137075757,3,4
26,0.55,5-Ideal,5-F,6-VVS2,62.3,54.0,5.29,5.27,3.29,4,2116.7505947793757,4,5
27,0.65,4-Premium,4-G,3-SI1,61.9,58.0,5.54,5.51,3.42,3,2631.254412742313,3,2
28,0.41,4-Premium,7-D,6-VVS2,62.2,58.0,4.8,4.78,2.98,6,947.5177266385549,3,5
29,0.7,3-Very Good,2-I,1-I1,63.2,59.0,5.62,5.59,3.54,1,2779.2551904410307,2,0
30,1.03,3-Very Good,2-I,5-VS1,62.9,53.0,6.45,6.5,4.07,1,5295.964865251837,2,4
31,0.34,5-Ideal,5-F,6-VVS2,61.3,56.0,4.52,4.56,2.78,4,802.1552283826154,4,5
32,0.73,5-Ideal,2-I,7-VVS1,61.7,53.0,5.8,5.84,3.59,1,3438.246101282862,4,6
33,0.83,5-Ideal,7-D,2-SI2,62.1,56.0,6.0,6.04,3.74,6,4246.0451325936465,4,1
34,0.51,3-Very Good,4-G,3-SI1,63.0,53.0,5.1,5.13,3.22,3,1385.829408809645,2,2
35,1.06,5-Ideal,6-E,4-VS2,61.3,57.0,6.54,6.57,4.02,5,6057.97444264106,4,3
36,0.41,5-Ideal,7-D,5-VS1,61.8,57.0,4.75,4.8,2.95,6,1267.2192404718476,4,4
37,1.03,5-Ideal,5-F,4-VS2,60.4,56.0,6.59,6.56,3.97,4,5714.962940966427,4,3
38,0.32,5-Ideal,7-D,3-SI1,61.3,55.0,4.41,4.46,2.72,6,713.3428839031267,4,2
39,0.3,4-Premium,1-J,5-VS1,62.6,58.0,4.32,4.27,2.69,0,325.4646398695777,3,4
40,0.32,3-Very Good,7-D,6-VVS2,60.1,58.0,4.41,4.44,2.66,6,220.31463589414125,2,5
41,0.33,5-Ideal,4-G,5-VS1,61.7,56.0,4.44,4.47,2.75,3,777.3288930398826,4,4
42,0.25,5-Ideal,4-G,5-VS1,62.7,54.0,4.05,4.08,2.55,3,358.9346109423709,4,4
43,0.3,5-Ideal,5-F,5-VS1,61.0,56.0,4.37,4.35,2.66,4,553.8459424912703,4,4
44,1.26,3-Very Good,5-F,8-IF,60.0,60.0,7.04,7.09,4.24,4,7107.067049865407,2,7
45,1.14,5-Ideal,1-J,5-VS1,61.6,56.0,6.71,6.73,4.14,0,6694.30159475111,4,4
46,1.51,4-Premium,3-H,3-SI1,62.8,60.0,7.22,7.14,4.51,2,9680.696725753407,3,2
47,0.51,3-Very Good,6-E,2-SI2,62.0,57.0,5.09,5.13,3.17,5,1414.3472640595332,2,1
48,0.32,5-Ideal,4-G,8-IF,61.0,57.0,4.44,4.48,2.72,3,686.2068378121176,4,7
49,0.94,4-Premium,6-E,2-SI2,60.4,59.0,6.37,6.34,3.84,5,4764.1536738315335,3,1
50,0.51,4-Premium,6-E,4-VS2,60.6,58.0,5.15,5.12,3.11,5,1632.2791858682408,3,3
51,1.12,5-Ideal,3-H,2-SI2,61.4,56.0,6.69,6.66,4.1,2,6512.738539987007,4,1
52,1.33,4-Premium,4-G,2-SI2,60.3,58.0,7.19,7.16,4.33,3,7915.472936030217,3,1
53,0.32,4-Premium,3-H,4-VS2,61.7,59.0,4.35,4.4,2.7,2,516.079609256034,3,3
